ItemNumber,listener_group,ProductionPresentationOrder,SentenceOrder,Type,Type_Num,Source,SourceNum,SentenceCorrect,Talker,TalkerGroup,Sound,ListenerGroup,Duration..in.seconds.,mTurkCode,ItemNum,ItemNum2,Resp,Resp_NUM,Timing_Click.Count,Timing_First.Click,Timing_Last.Click,Timing_Page.Submit,RT,WhichRT
1,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,103,NativeMandarin-Low (NML),103_practice_01.mp3,V2,577,2174606,X1,1,"An extremely strong
foreign accent
9",9,1,0.139,0.139,0.161,0.139,FirstClick
3,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,103,NativeMandarin-Low (NML),103_practice_03.mp3,V2,577,2174606,X3,3,"An extremely strong
foreign accent
9",9,1,0.346,0.346,0.367,0.346,FirstClick
4,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,103,NativeMandarin-Low (NML),103_practice_04.mp3,V2,577,2174606,X4,4,"An extremely strong
foreign accent
9",9,1,0.163,0.163,0.184,0.163,FirstClick
5,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,103,NativeMandarin-Low (NML),103_practice_05.mp3,V2,577,2174606,X5,5,"


6",6,2,1.504,2.048,2.065,2.048,LastClick
6,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,103,NativeMandarin-Low (NML),103_practice_06.mp3,V2,577,2174606,X6,6,"An extremely strong
foreign accent
9",9,1,0.196,0.196,0.217,0.196,FirstClick
7,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,103,NativeMandarin-Low (NML),103_practice_07.mp3,V2,577,2174606,X7,7,"


6",6,1,0.944,0.944,0.969,0.944,FirstClick
8,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,103,NativeMandarin-Low (NML),103_practice_08.mp3,V2,577,2174606,X8,8,"


7",7,1,0.231,0.231,0.251,0.231,FirstClick
9,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,103,NativeMandarin-Low (NML),103_practice_09.mp3,V2,577,2174606,X9,9,"


5",5,1,0.242,0.242,0.261,0.242,FirstClick
10,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,103,NativeMandarin-Low (NML),103_practice_10.mp3,V2,577,2174606,X10,10,"An extremely strong
foreign accent
9",9,1,1.428,1.428,1.448,1.428,FirstClick
11,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,103,NativeMandarin-Low (NML),103_practice_11.mp3,V2,577,2174606,X11,11,"An extremely strong
foreign accent
9",9,1,0.609,0.609,0.629,0.609,FirstClick
12,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,104,NativeMandarin-Low (NML),104_practice_01.mp3,V2,577,2174606,X12,12,"An extremely strong
foreign accent
9",9,1,0.493,0.493,0.4,0.493,FirstClick
13,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,104,NativeMandarin-Low (NML),104_practice_03.mp3,V2,577,2174606,X13,13,"


6",6,1,1.239,1.239,1.256,1.239,FirstClick
14,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,104,NativeMandarin-Low (NML),104_practice_04.mp3,V2,577,2174606,X14,14,"An extremely strong
foreign accent
9",9,1,0.191,0.191,0.102,0.191,FirstClick
15,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,104,NativeMandarin-Low (NML),104_practice_05.mp3,V2,577,2174606,X15,15,"An extremely strong
foreign accent
9",9,1,0.146,0.146,0.171,0.146,FirstClick
16,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,104,NativeMandarin-Low (NML),104_practice_06.mp3,V2,577,2174606,X16,16,"An extremely strong
foreign accent
9",9,1,0.191,0.191,0.101,0.191,FirstClick
17,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,104,NativeMandarin-Low (NML),104_practice_07.mp3,V2,577,2174606,X17,17,"An extremely strong
foreign accent
9",9,1,0.3,0.3,0.422,0.3,FirstClick
18,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,104,NativeMandarin-Low (NML),104_practice_08.mp3,V2,577,2174606,X18,18,"


6",6,1,1.417,1.417,1.435,1.417,FirstClick
19,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,104,NativeMandarin-Low (NML),104_practice_09.mp3,V2,577,2174606,X19,19,"


7",7,1,3.219,3.219,3.237,3.219,FirstClick
20,V2,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,104,NativeMandarin-Low (NML),104_practice_10.mp3,V2,577,2174606,X20,20,"An extremely strong
foreign accent
9",9,1,0.235,0.235,0.257,0.235,FirstClick
21,V2,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,104,NativeMandarin-Low (NML),104_practice_11.mp3,V2,577,2174606,X21,21,"An extremely strong
foreign accent
9",9,1,0.277,0.277,0.201,0.277,FirstClick
22,V2,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,302,NativeMandarin-High (NMH),302_practice_01.mp3,V2,577,2174606,X22,22,"


6",6,1,0.582,0.582,0.501,0.582,FirstClick
23,V2,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,302,NativeMandarin-High (NMH),302_practice_03.mp3,V2,577,2174606,X23,23,"


4",4,1,2.424,2.424,2.447,2.424,FirstClick
24,V2,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,302,NativeMandarin-High (NMH),302_practice_04.mp3,V2,577,2174606,X24,24,"


6",6,1,0.573,0.573,0.594,0.573,FirstClick
25,V2,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,302,NativeMandarin-High (NMH),302_practice_05.mp3,V2,577,2174606,X25,25,"


3",3,1,0.283,0.283,0.201,0.283,FirstClick
26,V2,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,302,NativeMandarin-High (NMH),302_practice_06.mp3,V2,577,2174606,X26,26,"


5",5,1,0.361,0.361,0.385,0.361,FirstClick
27,V2,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,302,NativeMandarin-High (NMH),302_practice_07.mp3,V2,577,2174606,X27,27,"


6",6,1,1.344,1.344,1.366,1.344,FirstClick
28,V2,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,302,NativeMandarin-High (NMH),302_practice_08.mp3,V2,577,2174606,X28,28,"


3",3,1,0.87,0.87,0.888,0.87,FirstClick
29,V2,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,302,NativeMandarin-High (NMH),302_practice_09.mp3,V2,577,2174606,X29,29,"


3",3,1,0.499,0.499,0.518,0.499,FirstClick
