ItemNumber,listener_group,ProductionPresentationOrder,SentenceOrder,Type,Type_Num,Source,SourceNum,SentenceCorrect,Talker,TalkerGroup,Sound,ListenerGroup,Duration..in.seconds.,mTurkCode,ItemNum,ItemNum2,Resp,Resp_NUM,Timing_Click.Count,Timing_First.Click,Timing_Last.Click,Timing_Page.Submit,RT,WhichRT
33,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,311,NativeMandarin-High (NMH),311_practice_03.mp3,V3,774,1682505,X33,33,"


7",7,1,0.508,0.508,0.526,0.508,FirstClick
34,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,311,NativeMandarin-High (NMH),311_practice_04.mp3,V3,774,1682505,X34,34,"


7",7,1,0.625,0.625,0.647,0.625,FirstClick
35,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,311,NativeMandarin-High (NMH),311_practice_05.mp3,V3,774,1682505,X35,35,"


7",7,1,0.489,0.489,0.401,0.489,FirstClick
36,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,311,NativeMandarin-High (NMH),311_practice_06.mp3,V3,774,1682505,X36,36,"


6",6,1,0.586,0.586,0.5,0.586,FirstClick
37,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,311,NativeMandarin-High (NMH),311_practice_07.mp3,V3,774,1682505,X37,37,"


7",7,1,0.641,0.641,0.662,0.641,FirstClick
38,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,311,NativeMandarin-High (NMH),311_practice_08.mp3,V3,774,1682505,X38,38,"


6",6,2,2.434,8.79,8.814,8.79,LastClick
39,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,311,NativeMandarin-High (NMH),311_practice_09.mp3,V3,774,1682505,X39,39,"


6",6,1,2.699,2.699,2.736,2.699,FirstClick
40,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,311,NativeMandarin-High (NMH),311_practice_10.mp3,V3,774,1682505,X40,40,"


6",6,1,1.956,1.956,1.983,1.956,FirstClick
41,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,311,NativeMandarin-High (NMH),311_practice_11.mp3,V3,774,1682505,X41,41,"


7",7,1,0.706,0.706,0.727,0.706,FirstClick
42,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,405,NativeEnglish (NTE),405_practice_01.mp3,V3,774,1682505,X42,42,"A native English speaker
1",1,1,0.599,0.599,0.633,0.599,FirstClick
43,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,405,NativeEnglish (NTE),405_practice_03.mp3,V3,774,1682505,X43,43,"


2",2,1,1.28,1.28,1.297,1.28,FirstClick
44,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,405,NativeEnglish (NTE),405_practice_04.mp3,V3,774,1682505,X44,44,"A native English speaker
1",1,1,0.475,0.475,0.497,0.475,FirstClick
45,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,405,NativeEnglish (NTE),405_practice_05.mp3,V3,774,1682505,X45,45,"A native English speaker
1",1,1,0.244,0.244,0.261,0.244,FirstClick
46,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,405,NativeEnglish (NTE),405_practice_06.mp3,V3,774,1682505,X46,46,"A native English speaker
1",1,1,0.866,0.866,0.883,0.866,FirstClick
47,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,405,NativeEnglish (NTE),405_practice_07.mp3,V3,774,1682505,X47,47,"A native English speaker
1",1,1,0.298,0.298,0.314,0.298,FirstClick
48,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,405,NativeEnglish (NTE),405_practice_08.mp3,V3,774,1682505,X48,48,"A native English speaker
1",1,1,0.391,0.391,0.302,0.391,FirstClick
49,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,405,NativeEnglish (NTE),405_practice_09.mp3,V3,774,1682505,X49,49,"A native English speaker
1",1,1,0.38,0.38,0.399,0.38,FirstClick
50,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,405,NativeEnglish (NTE),405_practice_10.mp3,V3,774,1682505,X50,50,"A native English speaker
1",1,1,0.547,0.547,0.564,0.547,FirstClick
51,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,405,NativeEnglish (NTE),405_practice_11.mp3,V3,774,1682505,X51,51,"A native English speaker
1",1,1,0.346,0.346,0.366,0.346,FirstClick
52,V3,1,14,BKB,BKB29,BKB-R,8_15,The three girls are listening.,411,NativeEnglish (NTE),411_practice_01.mp3,V3,774,1682505,X52,52,"A native English speaker
1",1,1,0.512,0.512,0.533,0.512,FirstClick
53,V3,3,3,BKB,BKB7,BKB-R,7_8,The young people are dancing.,411,NativeEnglish (NTE),411_practice_03.mp3,V3,774,1682505,X53,53,"


2",2,1,0.634,0.634,0.651,0.634,FirstClick
54,V3,4,12,BKB,BKB21,BKB-R,8_7,The ball broke the window.,411,NativeEnglish (NTE),411_practice_04.mp3,V3,774,1682505,X54,54,"A native English speaker
1",1,1,0.473,0.473,0.49,0.473,FirstClick
55,V3,5,9,BKB,BKB15,BKB-R,8_1,The boy forgot his book.,411,NativeEnglish (NTE),411_practice_05.mp3,V3,774,1682505,X55,55,"A native English speaker
1",1,1,0.266,0.266,0.282,0.266,FirstClick
56,V3,6,5,BKB,BKB9,BKB-R,7_10,They had two empty bottles.,411,NativeEnglish (NTE),411_practice_06.mp3,V3,774,1682505,X56,56,"


2",2,1,1.71,1.71,1.729,1.71,FirstClick
57,V3,7,15,BKB,BKB30,BKB-R,8_16,The coat is on the chair.,411,NativeEnglish (NTE),411_practice_07.mp3,V3,774,1682505,X57,57,"A native English speaker
1",1,2,0.221,0.774,0.7,0.774,LastClick
58,V3,8,8,BKB,BKB14,BKB-R,7_16,The new road is on the map. ,411,NativeEnglish (NTE),411_practice_08.mp3,V3,774,1682505,X58,58,"A native English speaker
1",1,1,0.676,0.676,0.693,0.676,FirstClick
59,V3,9,11,BKB,BKB20,BKB-R,8_6,The jug is on the shelf.,411,NativeEnglish (NTE),411_practice_09.mp3,V3,774,1682505,X59,59,"A native English speaker
1",1,1,0.96,0.96,0.981,0.96,FirstClick
60,V3,10,6,BKB,BKB12,BKB-R,7_13,The girl has a picture book.,411,NativeEnglish (NTE),411_practice_10.mp3,V3,774,1682505,X60,60,"A native English speaker
1",1,1,0.3,0.3,0.316,0.3,FirstClick
61,V3,11,7,BKB,BKB13,BKB-R,7_14,The orange was very sweet.,411,NativeEnglish (NTE),411_practice_11.mp3,V3,774,1682505,X61,61,"A native English speaker
1",1,1,0.245,0.245,0.268,0.245,FirstClick
