"","ItemNumber","listener_group","ProductionPresentationOrder","SentenceOrder","Type","Type_Num","Source","SourceNum","SentenceCorrect","Talker","TalkerGroup","Sound","ListenerGroup","Duration..in.seconds.","mTurkCode","ItemNum","ItemNum2","Resp","Resp_NUM","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit","RT","WhichRT","zscore_Resp_NUM"
"23",24,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",302,"NativeMandarin-High (NMH)","302_practice_04.mp3","V2",3834,"1316157","X24",24,"A native English speaker
1",1,1,0.098,0.098,0.164,0.098,"FirstClick",-1.05295306432474
"24",25,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",302,"NativeMandarin-High (NMH)","302_practice_05.mp3","V2",3834,"1316157","X25",25,"


2",2,1,0.169,0.169,0.125,0.169,"FirstClick",-0.782965099113271
"25",26,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",302,"NativeMandarin-High (NMH)","302_practice_06.mp3","V2",3834,"1316157","X26",26,"An extremely strong
foreign accent
9",9,1,0.004,0.004,0.067,0.004,"FirstClick",1.10695065736704
"26",27,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",302,"NativeMandarin-High (NMH)","302_practice_07.mp3","V2",3834,"1316157","X27",27,"An extremely strong
foreign accent
9",9,2,0.244,0.479,0.401,0.479,"LastClick",1.10695065736704
"27",28,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",302,"NativeMandarin-High (NMH)","302_practice_08.mp3","V2",3834,"1316157","X28",28,"A native English speaker
1",1,1,0.151,0.151,0.1,0.151,"FirstClick",-1.05295306432474
"28",29,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",302,"NativeMandarin-High (NMH)","302_practice_09.mp3","V2",3834,"1316157","X29",29,"


6",6,1,0.471,0.471,0.4,0.471,"FirstClick",0.29698676173262
"29",30,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",302,"NativeMandarin-High (NMH)","302_practice_10.mp3","V2",3834,"1316157","X30",30,"An extremely strong
foreign accent
9",9,1,0.168,0.168,0.108,0.168,"FirstClick",1.10695065736704
"30",31,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",302,"NativeMandarin-High (NMH)","302_practice_11.mp3","V2",3834,"1316157","X31",31,"


7",7,1,0.322,0.322,0.384,0.322,"FirstClick",0.566974726944092
"31",32,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",310,"NativeMandarin-High (NMH)","310_practice_01.mp3","V2",3834,"1316157","X32",32,"A native English speaker
1",1,1,0.285,0.285,0.246,0.285,"FirstClick",-1.05295306432474
"32",33,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",310,"NativeMandarin-High (NMH)","310_practice_03.mp3","V2",3834,"1316157","X33",33,"


7",7,1,1.658,1.658,1.641,1.658,"FirstClick",0.566974726944092
"33",34,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",310,"NativeMandarin-High (NMH)","310_practice_04.mp3","V2",3834,"1316157","X34",34,"


6",6,1,0.154,0.154,0.1,0.154,"FirstClick",0.29698676173262
"34",35,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",310,"NativeMandarin-High (NMH)","310_practice_05.mp3","V2",3834,"1316157","X35",35,"An extremely strong
foreign accent
9",9,1,0.005,0.005,0,0.005,"FirstClick",1.10695065736704
"35",36,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",310,"NativeMandarin-High (NMH)","310_practice_06.mp3","V2",3834,"1316157","X36",36,"


3",3,1,0.186,0.186,0.139,0.186,"FirstClick",-0.512977133901798
"36",37,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",310,"NativeMandarin-High (NMH)","310_practice_07.mp3","V2",3834,"1316157","X37",37,"


2",2,2,0.143,0.573,0.501,0.573,"LastClick",-0.782965099113271
"37",38,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",310,"NativeMandarin-High (NMH)","310_practice_08.mp3","V2",3834,"1316157","X38",38,"A native English speaker
1",1,1,0.009,0.009,0,0.009,"FirstClick",-1.05295306432474
"38",39,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",310,"NativeMandarin-High (NMH)","310_practice_09.mp3","V2",3834,"1316157","X39",39,"


2",2,2,3.145,3.728,3.689,3.728,"LastClick",-0.782965099113271
"39",40,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",310,"NativeMandarin-High (NMH)","310_practice_10.mp3","V2",3834,"1316157","X40",40,"


4",4,1,2.112,2.112,2.16,2.112,"FirstClick",-0.242989168690325
"40",41,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",310,"NativeMandarin-High (NMH)","310_practice_11.mp3","V2",3834,"1316157","X41",41,"An extremely strong
foreign accent
9",9,1,0.262,0.262,0.2,0.262,"FirstClick",1.10695065736704
"41",42,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",403,"NativeEnglish (NTE)","403_practice_01.mp3","V2",3834,"1316157","X42",42,"A native English speaker
1",1,1,0.101,0.101,0.287,0.101,"FirstClick",-1.05295306432474
"42",43,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",403,"NativeEnglish (NTE)","403_practice_03.mp3","V2",3834,"1316157","X43",43,"A native English speaker
1",1,1,0.085,0.085,0,0.085,"FirstClick",-1.05295306432474
"43",44,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",403,"NativeEnglish (NTE)","403_practice_04.mp3","V2",3834,"1316157","X44",44,"A native English speaker
1",1,1,0.111,0.111,0.157,0.111,"FirstClick",-1.05295306432474
"44",45,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",403,"NativeEnglish (NTE)","403_practice_05.mp3","V2",3834,"1316157","X45",45,"A native English speaker
1",1,1,1.304,1.304,1.391,1.304,"FirstClick",-1.05295306432474
"45",46,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",403,"NativeEnglish (NTE)","403_practice_06.mp3","V2",3834,"1316157","X46",46,"A native English speaker
1",1,1,0.066,0.066,0,0.066,"FirstClick",-1.05295306432474
"46",47,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",403,"NativeEnglish (NTE)","403_practice_07.mp3","V2",3834,"1316157","X47",47,"A native English speaker
1",1,1,1.229,1.229,1.825,1.229,"FirstClick",-1.05295306432474
"47",48,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",403,"NativeEnglish (NTE)","403_practice_08.mp3","V2",3834,"1316157","X48",48,"A native English speaker
1",1,1,0.249,0.249,0.203,0.249,"FirstClick",-1.05295306432474
"48",49,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",403,"NativeEnglish (NTE)","403_practice_09.mp3","V2",3834,"1316157","X49",49,"A native English speaker
1",1,1,0.6,0.6,0.76,0.6,"FirstClick",-1.05295306432474
"49",50,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",403,"NativeEnglish (NTE)","403_practice_10.mp3","V2",3834,"1316157","X50",50,"A native English speaker
1",1,1,0,0,0.37,0,"FirstClick",-1.05295306432474
"50",51,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",403,"NativeEnglish (NTE)","403_practice_11.mp3","V2",3834,"1316157","X51",51,"A native English speaker
1",1,1,0.066,0.066,0,0.066,"FirstClick",-1.05295306432474
"51",52,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",404,"NativeEnglish (NTE)","404_practice_01.mp3","V2",3834,"1316157","X52",52,"A native English speaker
1",1,1,0.971,0.971,0.925,0.971,"FirstClick",-1.05295306432474
"52",53,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",404,"NativeEnglish (NTE)","404_practice_03.mp3","V2",3834,"1316157","X53",53,"


2",2,1,1.556,1.556,1.501,1.556,"FirstClick",-0.782965099113271
"53",54,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",404,"NativeEnglish (NTE)","404_practice_04.mp3","V2",3834,"1316157","X54",54,"A native English speaker
1",1,1,0.046,0.046,0.093,0.046,"FirstClick",-1.05295306432474
"54",55,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",404,"NativeEnglish (NTE)","404_practice_05.mp3","V2",3834,"1316157","X55",55,"A native English speaker
1",1,1,1.252,1.252,1.22,1.252,"FirstClick",-1.05295306432474
"55",56,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",404,"NativeEnglish (NTE)","404_practice_06.mp3","V2",3834,"1316157","X56",56,"A native English speaker
1",1,1,0.052,0.052,0,0.052,"FirstClick",-1.05295306432474
"56",57,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",404,"NativeEnglish (NTE)","404_practice_07.mp3","V2",3834,"1316157","X57",57,"A native English speaker
1",1,1,0.007,0.007,0.093,0.007,"FirstClick",-1.05295306432474
"57",58,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",404,"NativeEnglish (NTE)","404_practice_08.mp3","V2",3834,"1316157","X58",58,"


3",3,1,31.621,31.621,31.697,31.621,"FirstClick",-0.512977133901798
"58",59,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",404,"NativeEnglish (NTE)","404_practice_09.mp3","V2",3834,"1316157","X59",59,"A native English speaker
1",1,1,1.101,1.101,1.272,1.101,"FirstClick",-1.05295306432474
"59",60,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",404,"NativeEnglish (NTE)","404_practice_10.mp3","V2",3834,"1316157","X60",60,"A native English speaker
1",1,1,0.179,0.179,0.101,0.179,"FirstClick",-1.05295306432474
"60",61,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",404,"NativeEnglish (NTE)","404_practice_11.mp3","V2",3834,"1316157","X61",61,"A native English speaker
1",1,1,0.052,0.052,0,0.052,"FirstClick",-1.05295306432474
"61",1,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",106,"NativeMandarin-Low (NML)","106_practice_01.mp3","V3",774,"1682505","X1",1,"


7",7,1,0.802,0.802,0.82,0.802,"FirstClick",0.805034519587266
"62",3,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",106,"NativeMandarin-Low (NML)","106_practice_03.mp3","V3",774,"1682505","X3",3,"


7",7,1,5.229,5.229,5.244,5.229,"FirstClick",0.805034519587266
"63",4,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",106,"NativeMandarin-Low (NML)","106_practice_04.mp3","V3",774,"1682505","X4",4,"


7",7,1,0.542,0.542,0.559,0.542,"FirstClick",0.805034519587266
"64",5,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",106,"NativeMandarin-Low (NML)","106_practice_05.mp3","V3",774,"1682505","X5",5,"An extremely strong
foreign accent
9",9,1,1.029,1.029,1.046,1.029,"FirstClick",1.51535909569368
"65",6,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",106,"NativeMandarin-Low (NML)","106_practice_06.mp3","V3",774,"1682505","X6",6,"An extremely strong
foreign accent
9",9,1,0.688,0.688,0.602,0.688,"FirstClick",1.51535909569368
"66",7,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",106,"NativeMandarin-Low (NML)","106_practice_07.mp3","V3",774,"1682505","X7",7,"An extremely strong
foreign accent
9",9,1,0.556,0.556,0.583,0.556,"FirstClick",1.51535909569368
"67",8,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",106,"NativeMandarin-Low (NML)","106_practice_08.mp3","V3",774,"1682505","X8",8,"


8",8,2,0.516,0.844,0.863,0.844,"LastClick",1.16019680764047
"68",9,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",106,"NativeMandarin-Low (NML)","106_practice_09.mp3","V3",774,"1682505","X9",9,"


6",6,1,6.366,6.366,6.384,6.366,"FirstClick",0.44987223153406
"69",10,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",106,"NativeMandarin-Low (NML)","106_practice_10.mp3","V3",774,"1682505","X10",10,"


7",7,1,1.945,1.945,1.962,1.945,"FirstClick",0.805034519587266
"70",11,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",106,"NativeMandarin-Low (NML)","106_practice_11.mp3","V3",774,"1682505","X11",11,"An extremely strong
foreign accent
9",9,1,1.125,1.125,1.138,1.125,"FirstClick",1.51535909569368
"71",12,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",107,"NativeMandarin-Low (NML)","107_practice_01.mp3","V3",774,"1682505","X12",12,"


6",6,1,0.467,0.467,0.487,0.467,"FirstClick",0.44987223153406
"72",13,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",107,"NativeMandarin-Low (NML)","107_practice_03.mp3","V3",774,"1682505","X13",13,"


6",6,1,0.552,0.552,0.569,0.552,"FirstClick",0.44987223153406
"73",14,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",107,"NativeMandarin-Low (NML)","107_practice_04.mp3","V3",774,"1682505","X14",14,"


8",8,1,0.824,0.824,0.842,0.824,"FirstClick",1.16019680764047
"74",15,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",107,"NativeMandarin-Low (NML)","107_practice_05.mp3","V3",774,"1682505","X15",15,"


7",7,1,5.1,5.1,5.115,5.1,"FirstClick",0.805034519587266
"75",16,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",107,"NativeMandarin-Low (NML)","107_practice_06.mp3","V3",774,"1682505","X16",16,"


8",8,1,2.149,2.149,2.169,2.149,"FirstClick",1.16019680764047
"76",17,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",107,"NativeMandarin-Low (NML)","107_practice_07.mp3","V3",774,"1682505","X17",17,"


7",7,1,0.985,0.985,0.9,0.985,"FirstClick",0.805034519587266
"77",18,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",107,"NativeMandarin-Low (NML)","107_practice_08.mp3","V3",774,"1682505","X18",18,"


6",6,1,1.887,1.887,1.8,1.887,"FirstClick",0.44987223153406
"78",19,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",107,"NativeMandarin-Low (NML)","107_practice_09.mp3","V3",774,"1682505","X19",19,"


7",7,1,1.522,1.522,1.548,1.522,"FirstClick",0.805034519587266
"79",20,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",107,"NativeMandarin-Low (NML)","107_practice_10.mp3","V3",774,"1682505","X20",20,"


7",7,1,0.978,0.978,0.995,0.978,"FirstClick",0.805034519587266
"80",21,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",107,"NativeMandarin-Low (NML)","107_practice_11.mp3","V3",774,"1682505","X21",21,"


7",7,1,1.327,1.327,1.351,1.327,"FirstClick",0.805034519587266
"81",22,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",306,"NativeMandarin-High (NMH)","306_practice_01.mp3","V3",774,"1682505","X22",22,"


5",5,1,0.638,0.638,0.655,0.638,"FirstClick",0.0947099434808548
"82",23,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",306,"NativeMandarin-High (NMH)","306_practice_03.mp3","V3",774,"1682505","X23",23,"


6",6,1,1.443,1.443,1.463,1.443,"FirstClick",0.44987223153406
