"","ItemNumber","listener_group","ProductionPresentationOrder","SentenceOrder","Type","Type_Num","Source","SourceNum","SentenceCorrect","Talker","TalkerGroup","Sound","ListenerGroup","Duration..in.seconds.","mTurkCode","ItemNum","ItemNum2","Resp","Resp_NUM","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit","RT","WhichRT","zscore_Resp_NUM"
"413",54,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",404,"NativeEnglish (NTE)","404_practice_04.mp3","V2",1323,"3410389","X54",54,"A native English speaker
1",1,1,0.043,0.043,0.091,0.043,"FirstClick",-1.04702814772363
"414",55,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",404,"NativeEnglish (NTE)","404_practice_05.mp3","V2",1323,"3410389","X55",55,"A native English speaker
1",1,1,0.076,0.076,0,0.076,"FirstClick",-1.04702814772363
"415",56,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",404,"NativeEnglish (NTE)","404_practice_06.mp3","V2",1323,"3410389","X56",56,"A native English speaker
1",1,1,0.034,0.034,0,0.034,"FirstClick",-1.04702814772363
"416",57,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",404,"NativeEnglish (NTE)","404_practice_07.mp3","V2",1323,"3410389","X57",57,"A native English speaker
1",1,1,0.147,0.147,0.104,0.147,"FirstClick",-1.04702814772363
"417",58,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",404,"NativeEnglish (NTE)","404_practice_08.mp3","V2",1323,"3410389","X58",58,"A native English speaker
1",1,1,0.008,0.008,0,0.008,"FirstClick",-1.04702814772363
"418",59,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",404,"NativeEnglish (NTE)","404_practice_09.mp3","V2",1323,"3410389","X59",59,"A native English speaker
1",1,1,0.077,0.077,0,0.077,"FirstClick",-1.04702814772363
"419",60,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",404,"NativeEnglish (NTE)","404_practice_10.mp3","V2",1323,"3410389","X60",60,"A native English speaker
1",1,1,0.119,0.119,0.163,0.119,"FirstClick",-1.04702814772363
"420",61,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",404,"NativeEnglish (NTE)","404_practice_11.mp3","V2",1323,"3410389","X61",61,"A native English speaker
1",1,1,0.265,0.265,0.201,0.265,"FirstClick",-1.04702814772363
"421",1,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",103,"NativeMandarin-Low (NML)","103_practice_01.mp3","V2",478,"3485279","X1",1,"An extremely strong
foreign accent
9",9,1,2.048,2.048,2.076,2.048,"FirstClick",0.841055605261498
"422",3,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",103,"NativeMandarin-Low (NML)","103_practice_03.mp3","V2",478,"3485279","X3",3,"An extremely strong
foreign accent
9",9,1,0.031,0.031,0.047,0.031,"FirstClick",0.841055605261498
"423",4,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",103,"NativeMandarin-Low (NML)","103_practice_04.mp3","V2",478,"3485279","X4",4,"An extremely strong
foreign accent
9",9,1,0.684,0.684,0.702,0.684,"FirstClick",0.841055605261498
"424",5,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",103,"NativeMandarin-Low (NML)","103_practice_05.mp3","V2",478,"3485279","X5",5,"An extremely strong
foreign accent
9",9,1,2.363,2.363,2.386,2.363,"FirstClick",0.841055605261498
"425",6,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",103,"NativeMandarin-Low (NML)","103_practice_06.mp3","V2",478,"3485279","X6",6,"An extremely strong
foreign accent
9",9,1,0.008,0.008,0.021,0.008,"FirstClick",0.841055605261498
"426",7,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",103,"NativeMandarin-Low (NML)","103_practice_07.mp3","V2",478,"3485279","X7",7,"An extremely strong
foreign accent
9",9,1,6.609,6.609,6.621,6.609,"FirstClick",0.841055605261498
"427",8,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",103,"NativeMandarin-Low (NML)","103_practice_08.mp3","V2",478,"3485279","X8",8,"


8",8,1,1.407,1.407,1.435,1.407,"FirstClick",0.571198191808611
"428",9,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",103,"NativeMandarin-Low (NML)","103_practice_09.mp3","V2",478,"3485279","X9",9,"


8",8,1,3.061,3.061,3.073,3.061,"FirstClick",0.571198191808611
"429",10,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",103,"NativeMandarin-Low (NML)","103_practice_10.mp3","V2",478,"3485279","X10",10,"


8",8,1,1.704,1.704,1.72,1.704,"FirstClick",0.571198191808611
"430",11,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",103,"NativeMandarin-Low (NML)","103_practice_11.mp3","V2",478,"3485279","X11",11,"An extremely strong
foreign accent
9",9,1,1.028,1.028,1.042,1.028,"FirstClick",0.841055605261498
"431",12,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",104,"NativeMandarin-Low (NML)","104_practice_01.mp3","V2",478,"3485279","X12",12,"An extremely strong
foreign accent
9",9,1,0.621,0.621,0.637,0.621,"FirstClick",0.841055605261498
"432",13,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",104,"NativeMandarin-Low (NML)","104_practice_03.mp3","V2",478,"3485279","X13",13,"An extremely strong
foreign accent
9",9,1,0.108,0.108,0.12,0.108,"FirstClick",0.841055605261498
"433",14,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",104,"NativeMandarin-Low (NML)","104_practice_04.mp3","V2",478,"3485279","X14",14,"An extremely strong
foreign accent
9",9,1,0.061,0.061,0.081,0.061,"FirstClick",0.841055605261498
"434",15,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",104,"NativeMandarin-Low (NML)","104_practice_05.mp3","V2",478,"3485279","X15",15,"An extremely strong
foreign accent
9",9,1,4.367,4.367,4.383,4.367,"FirstClick",0.841055605261498
"435",16,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",104,"NativeMandarin-Low (NML)","104_practice_06.mp3","V2",478,"3485279","X16",16,"An extremely strong
foreign accent
9",9,1,4.901,4.901,4.923,4.901,"FirstClick",0.841055605261498
"436",17,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",104,"NativeMandarin-Low (NML)","104_practice_07.mp3","V2",478,"3485279","X17",17,"A native English speaker
1",1,1,1.473,1.473,1.527,1.473,"FirstClick",-1.3178037023616
"437",18,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",104,"NativeMandarin-Low (NML)","104_practice_08.mp3","V2",478,"3485279","X18",18,"An extremely strong
foreign accent
9",9,1,0.321,0.321,0.333,0.321,"FirstClick",0.841055605261498
"438",19,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",104,"NativeMandarin-Low (NML)","104_practice_09.mp3","V2",478,"3485279","X19",19,"An extremely strong
foreign accent
9",9,2,1.183,1.552,1.565,1.552,"LastClick",0.841055605261498
"439",20,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",104,"NativeMandarin-Low (NML)","104_practice_10.mp3","V2",478,"3485279","X20",20,"An extremely strong
foreign accent
9",9,1,0.039,0.039,0.054,0.039,"FirstClick",0.841055605261498
"440",21,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",104,"NativeMandarin-Low (NML)","104_practice_11.mp3","V2",478,"3485279","X21",21,"An extremely strong
foreign accent
9",9,1,3.052,3.052,3.072,3.052,"FirstClick",0.841055605261498
"441",22,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",302,"NativeMandarin-High (NMH)","302_practice_01.mp3","V2",478,"3485279","X22",22,"An extremely strong
foreign accent
9",9,1,5.291,5.291,5.2,5.291,"FirstClick",0.841055605261498
"442",23,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",302,"NativeMandarin-High (NMH)","302_practice_03.mp3","V2",478,"3485279","X23",23,"An extremely strong
foreign accent
9",9,1,6.265,6.265,6.281,6.265,"FirstClick",0.841055605261498
"443",24,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",302,"NativeMandarin-High (NMH)","302_practice_04.mp3","V2",478,"3485279","X24",24,"An extremely strong
foreign accent
9",9,1,0.114,0.114,0.128,0.114,"FirstClick",0.841055605261498
"444",25,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",302,"NativeMandarin-High (NMH)","302_practice_05.mp3","V2",478,"3485279","X25",25,"An extremely strong
foreign accent
9",9,1,0.118,0.118,0.138,0.118,"FirstClick",0.841055605261498
"445",26,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",302,"NativeMandarin-High (NMH)","302_practice_06.mp3","V2",478,"3485279","X26",26,"An extremely strong
foreign accent
9",9,1,6.369,6.369,6.297,6.369,"FirstClick",0.841055605261498
"446",27,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",302,"NativeMandarin-High (NMH)","302_practice_07.mp3","V2",478,"3485279","X27",27,"An extremely strong
foreign accent
9",9,1,0.047,0.047,0,0.047,"FirstClick",0.841055605261498
"447",28,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",302,"NativeMandarin-High (NMH)","302_practice_08.mp3","V2",478,"3485279","X28",28,"A native English speaker
1",1,1,1.629,1.629,1.641,1.629,"FirstClick",-1.3178037023616
"448",29,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",302,"NativeMandarin-High (NMH)","302_practice_09.mp3","V2",478,"3485279","X29",29,"An extremely strong
foreign accent
9",9,1,3.701,3.701,3.721,3.701,"FirstClick",0.841055605261498
"449",30,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",302,"NativeMandarin-High (NMH)","302_practice_10.mp3","V2",478,"3485279","X30",30,"An extremely strong
foreign accent
9",9,1,4.131,4.131,4.154,4.131,"FirstClick",0.841055605261498
"450",31,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",302,"NativeMandarin-High (NMH)","302_practice_11.mp3","V2",478,"3485279","X31",31,"An extremely strong
foreign accent
9",9,1,1.859,1.859,1.889,1.859,"FirstClick",0.841055605261498
"451",32,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",310,"NativeMandarin-High (NMH)","310_practice_01.mp3","V2",478,"3485279","X32",32,"


8",8,1,0.267,0.267,0.293,0.267,"FirstClick",0.571198191808611
"452",33,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",310,"NativeMandarin-High (NMH)","310_practice_03.mp3","V2",478,"3485279","X33",33,"An extremely strong
foreign accent
9",9,1,0.214,0.214,0.266,0.214,"FirstClick",0.841055605261498
"453",34,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",310,"NativeMandarin-High (NMH)","310_practice_04.mp3","V2",478,"3485279","X34",34,"An extremely strong
foreign accent
9",9,2,8.943,9.324,9.343,9.324,"LastClick",0.841055605261498
"454",35,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",310,"NativeMandarin-High (NMH)","310_practice_05.mp3","V2",478,"3485279","X35",35,"An extremely strong
foreign accent
9",9,1,0.097,0.097,0.117,0.097,"FirstClick",0.841055605261498
"455",36,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",310,"NativeMandarin-High (NMH)","310_practice_06.mp3","V2",478,"3485279","X36",36,"


7",7,2,1.947,2.579,2.501,2.579,"LastClick",0.301340778355724
"456",37,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",310,"NativeMandarin-High (NMH)","310_practice_07.mp3","V2",478,"3485279","X37",37,"A native English speaker
1",1,1,1.416,1.416,1.43,1.416,"FirstClick",-1.3178037023616
"457",38,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",310,"NativeMandarin-High (NMH)","310_practice_08.mp3","V2",478,"3485279","X38",38,"An extremely strong
foreign accent
9",9,1,0.022,0.022,0.039,0.022,"FirstClick",0.841055605261498
"458",39,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",310,"NativeMandarin-High (NMH)","310_practice_09.mp3","V2",478,"3485279","X39",39,"


7",7,2,0.139,0.57,0.584,0.57,"LastClick",0.301340778355724
"459",40,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",310,"NativeMandarin-High (NMH)","310_practice_10.mp3","V2",478,"3485279","X40",40,"


7",7,1,1.826,1.826,1.844,1.826,"FirstClick",0.301340778355724
"460",41,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",310,"NativeMandarin-High (NMH)","310_practice_11.mp3","V2",478,"3485279","X41",41,"An extremely strong
foreign accent
9",9,1,0.778,0.778,0.791,0.778,"FirstClick",0.841055605261498
"461",42,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",403,"NativeEnglish (NTE)","403_practice_01.mp3","V2",478,"3485279","X42",42,"A native English speaker
1",1,1,3.465,3.465,3.49,3.465,"FirstClick",-1.3178037023616
"462",43,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",403,"NativeEnglish (NTE)","403_practice_03.mp3","V2",478,"3485279","X43",43,"A native English speaker
1",1,1,0.489,0.489,0.402,0.489,"FirstClick",-1.3178037023616
"463",44,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",403,"NativeEnglish (NTE)","403_practice_04.mp3","V2",478,"3485279","X44",44,"A native English speaker
1",1,1,0.078,0.078,0.094,0.078,"FirstClick",-1.3178037023616
"464",45,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",403,"NativeEnglish (NTE)","403_practice_05.mp3","V2",478,"3485279","X45",45,"A native English speaker
1",1,1,0.074,0.074,0.086,0.074,"FirstClick",-1.3178037023616
"465",46,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",403,"NativeEnglish (NTE)","403_practice_06.mp3","V2",478,"3485279","X46",46,"A native English speaker
1",1,1,0.105,0.105,0.12,0.105,"FirstClick",-1.3178037023616
"466",47,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",403,"NativeEnglish (NTE)","403_practice_07.mp3","V2",478,"3485279","X47",47,"A native English speaker
1",1,1,0.267,0.267,0.279,0.267,"FirstClick",-1.3178037023616
"467",48,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",403,"NativeEnglish (NTE)","403_practice_08.mp3","V2",478,"3485279","X48",48,"


3",3,1,2.076,2.076,2.093,2.076,"FirstClick",-0.778088875455825
"468",49,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",403,"NativeEnglish (NTE)","403_practice_09.mp3","V2",478,"3485279","X49",49,"A native English speaker
1",1,1,0.01,0.01,0.023,0.01,"FirstClick",-1.3178037023616
"469",50,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",403,"NativeEnglish (NTE)","403_practice_10.mp3","V2",478,"3485279","X50",50,"A native English speaker
1",1,1,0.016,0.016,0.03,0.016,"FirstClick",-1.3178037023616
"470",51,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",403,"NativeEnglish (NTE)","403_practice_11.mp3","V2",478,"3485279","X51",51,"A native English speaker
1",1,1,0.058,0.058,0.076,0.058,"FirstClick",-1.3178037023616
"471",52,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",404,"NativeEnglish (NTE)","404_practice_01.mp3","V2",478,"3485279","X52",52,"


3",3,1,2.313,2.313,2.328,2.313,"FirstClick",-0.778088875455825
"472",53,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",404,"NativeEnglish (NTE)","404_practice_03.mp3","V2",478,"3485279","X53",53,"A native English speaker
1",1,1,0.138,0.138,0.152,0.138,"FirstClick",-1.3178037023616
"473",54,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",404,"NativeEnglish (NTE)","404_practice_04.mp3","V2",478,"3485279","X54",54,"


4",4,2,3.108,4.171,4.194,4.171,"LastClick",-0.508231462002938
"474",55,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",404,"NativeEnglish (NTE)","404_practice_05.mp3","V2",478,"3485279","X55",55,"A native English speaker
1",1,1,0.126,0.126,0.168,0.126,"FirstClick",-1.3178037023616
"475",56,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",404,"NativeEnglish (NTE)","404_practice_06.mp3","V2",478,"3485279","X56",56,"A native English speaker
1",1,1,2.67,2.67,2.697,2.67,"FirstClick",-1.3178037023616
"476",57,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",404,"NativeEnglish (NTE)","404_practice_07.mp3","V2",478,"3485279","X57",57,"A native English speaker
1",1,1,4.332,4.332,4.353,4.332,"FirstClick",-1.3178037023616
"477",58,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",404,"NativeEnglish (NTE)","404_practice_08.mp3","V2",478,"3485279","X58",58,"A native English speaker
1",1,1,0.108,0.108,0.121,0.108,"FirstClick",-1.3178037023616
"478",59,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",404,"NativeEnglish (NTE)","404_practice_09.mp3","V2",478,"3485279","X59",59,"A native English speaker
1",1,1,0.015,0.015,0.032,0.015,"FirstClick",-1.3178037023616
"479",60,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",404,"NativeEnglish (NTE)","404_practice_10.mp3","V2",478,"3485279","X60",60,"A native English speaker
1",1,1,0.123,0.123,0.135,0.123,"FirstClick",-1.3178037023616
"480",61,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",404,"NativeEnglish (NTE)","404_practice_11.mp3","V2",478,"3485279","X61",61,"A native English speaker
1",1,1,0.082,0.082,0,0.082,"FirstClick",-1.3178037023616
"481",1,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",106,"NativeMandarin-Low (NML)","106_practice_01.mp3","V3",463,"3800888","X1",1,"


7",7,1,0.266,0.266,0.201,0.266,"FirstClick",0.650192771470164
"482",3,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",106,"NativeMandarin-Low (NML)","106_practice_03.mp3","V3",463,"3800888","X3",3,"


7",7,1,0.913,0.913,0.966,0.913,"FirstClick",0.650192771470164
"483",4,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",106,"NativeMandarin-Low (NML)","106_practice_04.mp3","V3",463,"3800888","X4",4,"An extremely strong
foreign accent
9",9,1,0.976,0.976,0.902,0.976,"FirstClick",1.3058493477426
"484",5,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",106,"NativeMandarin-Low (NML)","106_practice_05.mp3","V3",463,"3800888","X5",5,"An extremely strong
foreign accent
9",9,1,0.383,0.383,0.307,0.383,"FirstClick",1.3058493477426
"485",6,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",106,"NativeMandarin-Low (NML)","106_practice_06.mp3","V3",463,"3800888","X6",6,"An extremely strong
foreign accent
9",9,1,0.148,0.148,0.201,0.148,"FirstClick",1.3058493477426
"486",7,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",106,"NativeMandarin-Low (NML)","106_practice_07.mp3","V3",463,"3800888","X7",7,"


8",8,1,0.547,0.547,0.602,0.547,"FirstClick",0.978021059606381
"487",8,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",106,"NativeMandarin-Low (NML)","106_practice_08.mp3","V3",463,"3800888","X8",8,"An extremely strong
foreign accent
9",9,1,0.165,0.165,0.1,0.165,"FirstClick",1.3058493477426
"488",9,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",106,"NativeMandarin-Low (NML)","106_practice_09.mp3","V3",463,"3800888","X9",9,"An extremely strong
foreign accent
9",9,1,0.222,0.222,0.272,0.222,"FirstClick",1.3058493477426
"489",10,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",106,"NativeMandarin-Low (NML)","106_practice_10.mp3","V3",463,"3800888","X10",10,"An extremely strong
foreign accent
9",9,1,0.924,0.924,0.971,0.924,"FirstClick",1.3058493477426
"490",11,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",106,"NativeMandarin-Low (NML)","106_practice_11.mp3","V3",463,"3800888","X11",11,"An extremely strong
foreign accent
9",9,1,0.342,0.342,0.387,0.342,"FirstClick",1.3058493477426
"491",12,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",107,"NativeMandarin-Low (NML)","107_practice_01.mp3","V3",463,"3800888","X12",12,"


7",7,1,0.811,0.811,0.861,0.811,"FirstClick",0.650192771470164
"492",13,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",107,"NativeMandarin-Low (NML)","107_practice_03.mp3","V3",463,"3800888","X13",13,"


8",8,1,0.607,0.607,0.642,0.607,"FirstClick",0.978021059606381
"493",14,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",107,"NativeMandarin-Low (NML)","107_practice_04.mp3","V3",463,"3800888","X14",14,"An extremely strong
foreign accent
9",9,1,0.652,0.652,0.602,0.652,"FirstClick",1.3058493477426
"494",15,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",107,"NativeMandarin-Low (NML)","107_practice_05.mp3","V3",463,"3800888","X15",15,"


8",8,1,0.394,0.394,0.433,0.394,"FirstClick",0.978021059606381
"495",16,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",107,"NativeMandarin-Low (NML)","107_practice_06.mp3","V3",463,"3800888","X16",16,"An extremely strong
foreign accent
9",9,1,0.254,0.254,0.297,0.254,"FirstClick",1.3058493477426
"496",17,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",107,"NativeMandarin-Low (NML)","107_practice_07.mp3","V3",463,"3800888","X17",17,"


6",6,1,0.582,0.582,0.502,0.582,"FirstClick",0.322364483333947
"497",18,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",107,"NativeMandarin-Low (NML)","107_practice_08.mp3","V3",463,"3800888","X18",18,"


8",8,1,0.262,0.262,0.2,0.262,"FirstClick",0.978021059606381
"498",19,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",107,"NativeMandarin-Low (NML)","107_practice_09.mp3","V3",463,"3800888","X19",19,"


7",7,1,0.623,0.623,0.671,0.623,"FirstClick",0.650192771470164
"499",20,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",107,"NativeMandarin-Low (NML)","107_practice_10.mp3","V3",463,"3800888","X20",20,"


8",8,1,0.765,0.765,0.701,0.765,"FirstClick",0.978021059606381
"500",21,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",107,"NativeMandarin-Low (NML)","107_practice_11.mp3","V3",463,"3800888","X21",21,"


8",8,1,0.612,0.612,0.659,0.612,"FirstClick",0.978021059606381
"501",22,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",306,"NativeMandarin-High (NMH)","306_practice_01.mp3","V3",463,"3800888","X22",22,"


3",3,1,0.428,0.428,0.476,0.428,"FirstClick",-0.661120381074704
"502",23,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",306,"NativeMandarin-High (NMH)","306_practice_03.mp3","V3",463,"3800888","X23",23,"


4",4,1,0.834,0.834,0.874,0.834,"FirstClick",-0.333292092938487
"503",24,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",306,"NativeMandarin-High (NMH)","306_practice_04.mp3","V3",463,"3800888","X24",24,"


7",7,1,0.511,0.511,0.558,0.511,"FirstClick",0.650192771470164
"504",25,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",306,"NativeMandarin-High (NMH)","306_practice_05.mp3","V3",463,"3800888","X25",25,"


3",3,3,0.13,1.855,1.801,1.855,"LastClick",-0.661120381074704
"505",26,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",306,"NativeMandarin-High (NMH)","306_practice_06.mp3","V3",463,"3800888","X26",26,"


7",7,1,0.374,0.374,0.301,0.374,"FirstClick",0.650192771470164
"506",27,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",306,"NativeMandarin-High (NMH)","306_practice_07.mp3","V3",463,"3800888","X27",27,"


3",3,1,0.378,0.378,0.3,0.378,"FirstClick",-0.661120381074704
"507",28,"V3",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",306,"NativeMandarin-High (NMH)","306_practice_08.mp3","V3",463,"3800888","X28",28,"


5",5,1,0.88,0.88,0.801,0.88,"FirstClick",-0.00546380480227026
"508",29,"V3",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",306,"NativeMandarin-High (NMH)","306_practice_09.mp3","V3",463,"3800888","X29",29,"


4",4,1,0.45,0.45,0.491,0.45,"FirstClick",-0.333292092938487
"509",30,"V3",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",306,"NativeMandarin-High (NMH)","306_practice_10.mp3","V3",463,"3800888","X30",30,"


4",4,1,0.63,0.63,0.601,0.63,"FirstClick",-0.333292092938487
"510",31,"V3",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",306,"NativeMandarin-High (NMH)","306_practice_11.mp3","V3",463,"3800888","X31",31,"


6",6,1,0.509,0.509,0.547,0.509,"FirstClick",0.322364483333947
"511",32,"V3",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",311,"NativeMandarin-High (NMH)","311_practice_01.mp3","V3",463,"3800888","X32",32,"


6",6,1,0.487,0.487,0.405,0.487,"FirstClick",0.322364483333947
"512",33,"V3",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",311,"NativeMandarin-High (NMH)","311_practice_03.mp3","V3",463,"3800888","X33",33,"


8",8,1,0.576,0.576,0.501,0.576,"FirstClick",0.978021059606381
"513",34,"V3",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",311,"NativeMandarin-High (NMH)","311_practice_04.mp3","V3",463,"3800888","X34",34,"


6",6,1,1.215,1.215,1.255,1.215,"FirstClick",0.322364483333947
"514",35,"V3",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",311,"NativeMandarin-High (NMH)","311_practice_05.mp3","V3",463,"3800888","X35",35,"


8",8,1,0.91,0.91,0.956,0.91,"FirstClick",0.978021059606381
"515",36,"V3",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",311,"NativeMandarin-High (NMH)","311_practice_06.mp3","V3",463,"3800888","X36",36,"


4",4,1,0.394,0.394,0.446,0.394,"FirstClick",-0.333292092938487
"516",37,"V3",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",311,"NativeMandarin-High (NMH)","311_practice_07.mp3","V3",463,"3800888","X37",37,"


4",4,1,0.53,0.53,0.501,0.53,"FirstClick",-0.333292092938487
